date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:01	51357/51357	U-----	200	untouched ('')	image/jpeg	etag:%22c89d-5a79fcbf2cd87%22	https://sparkden.com/wp-content/uploads/2020/06/s1.jpg	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/s1.jpg	(from https://sparkden.com/)
21:13:01	7320/7320	U-----	200	untouched ('')	image/png	etag:%221c98-5a917d4e4d6cc%22	https://sparkden.com/wp-content/uploads/2020/06/NBC-4-1.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/NBC-4-1.png	(from https://sparkden.com/)
21:13:01	7264/7264	U-----	200	untouched ('')	image/png	etag:%221c60-5a917d4d7e5fd%22	https://sparkden.com/wp-content/uploads/2020/06/Fox-1-1.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/Fox-1-1.png	(from https://sparkden.com/)
21:13:01	249457/249457	U-----	200	untouched ('')	image/png	etag:%223ce71-5a7eb16d0d53d%22	https://sparkden.com/wp-content/uploads/2020/06/Sparkden-Infographic-01.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/Sparkden-Infographic-01.png	(from https://sparkden.com/)
21:13:01	14105/14105	U-----	200	untouched ('')	application/javascript	date:Wed,%2002%20Sep%202020%2001:43:33%20GMT	https://sparkden.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.2.2	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/plugins/contact-form-7/includes/js/scriptsbb49.js	(from https://sparkden.com/)
21:13:01	6246/6246	U-----	200	untouched ('')	image/png	etag:%221866-5a917d48660dd%22	https://sparkden.com/wp-content/uploads/2020/06/ABC-TV-1024x791-1.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/ABC-TV-1024x791-1.png	(from https://sparkden.com/)
21:13:01	57563/57563	U-----	200	untouched ('')	image/png	etag:%22e0db-5a797b0ff48f2%22	https://sparkden.com/wp-content/uploads/2020/06/badge.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/badge.png	(from https://sparkden.com/)
21:13:02	14811/14811	U-----	200	untouched ('')	image/png	etag:%2239db-5a917d4c15804%22	https://sparkden.com/wp-content/uploads/2020/06/CBS-2-1.png	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/uploads/2020/06/CBS-2-1.png	(from https://sparkden.com/)
21:13:31	847/847	U-----	200	untouched ('')	image/gif	etag:%2234f-5ae4ac37ad462%22	https://sparkden.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://sparkden.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2.2)
21:13:33	1360/1360	U-----	200	untouched ('')	application/javascript	etag:%22550-5a71d134fc282-gzip%22	https://sparkden.com/wp-content/themes/Divi/core/admin/js/common.js?ver=4.4.5	C:/My%20Web%20Sites/MASH%20Copy/sparkden.com/wp-content/themes/Divi/core/admin/js/common4235.js	(from https://sparkden.com/)
